"Label (Grouping)","Total:","Total:!!White alone","Total:!!Black or African American alone","Total:!!American Indian and Alaska Native alone","Total:!!Asian alone","Total:!!Native Hawaiian and Other Pacific Islander alone","Total:!!Some Other Race alone","Total:!!Two or More Races"
"ZCTA5 10001","","","","","","","",""
"    ZCTA5 10001","21,102","13,722","1,897","75","3,539","5","1,063","801"
"ZCTA5 10002","","","","","","","",""
"    ZCTA5 10002","81,410","25,506","6,836","374","37,914","32","7,997","2,751"
"ZCTA5 10003","","","","","","","",""
"    ZCTA5 10003","56,024","42,794","1,977","101","8,088","24","1,256","1,784"
"ZCTA5 10004","","","","","","","",""
"    ZCTA5 10004","3,089","2,167","97","8","655","1","46","115"
"ZCTA5 10005","","","","","","","",""
"    ZCTA5 10005","7,135","5,001","242","10","1,480","2","160","240"
"ZCTA5 10006","","","","","","","",""
"    ZCTA5 10006","3,011","2,088","137","4","591","0","97","94"
"ZCTA5 10007","","","","","","","",""
"    ZCTA5 10007","6,988","5,281","471","5","878","6","90","257"
"ZCTA5 10009","","","","","","","",""
"    ZCTA5 10009","61,347","38,077","6,036","304","8,377","33","5,946","2,574"
"ZCTA5 10010","","","","","","","",""
"    ZCTA5 10010","31,834","23,493","1,877","69","4,586","15","779","1,015"
"ZCTA5 10011","","","","","","","",""
"    ZCTA5 10011","50,984","40,922","2,348","110","4,517","24","1,496","1,567"
"ZCTA5 10012","","","","","","","",""
"    ZCTA5 10012","24,090","18,203","596","30","3,985","7","534","735"
"ZCTA5 10013","","","","","","","",""
"    ZCTA5 10013","27,700","15,407","1,040","30","10,006","4","489","724"
"ZCTA5 10014","","","","","","","",""
"    ZCTA5 10014","31,959","28,094","660","54","1,874","10","393","874"
"ZCTA5 10016","","","","","","","",""
"    ZCTA5 10016","54,183","40,517","2,176","91","8,998","26","1,083","1,292"
"ZCTA5 10017","","","","","","","",""
"    ZCTA5 10017","16,575","12,503","544","15","2,930","9","193","381"
"ZCTA5 10018","","","","","","","",""
