Station,Services,Div,Line,Opened,Borough,Neighborhood,Ridership (2019),Rank,
First Avenue,L,BMT,Carnarsie Line,"June 30, 1924",Manhattan,East Village,"5,345,371",83,
Second Avenue,F,IND,Sixth Avenue Line,"January 1, 1936",Manhattan,East Village,"5,583,944",79,
Third Avenue,L,BMT,Carnarsie Line,"June 30, 1924",Manhattan,East Village,"1,700,456",275,
Third Avenue–138th Street,6,IRT,Pelham Line,"August 1, 1918",The Bronx,Mott Haven,"2,503,850",190,
Third Avenue–149th Street,2 5,IRT,White Plains Road Line,"July 10, 1905",The Bronx,Mott Haven,"6,768,255",59,
Fourth Avenue/Ninth Street,R F G,BMT,Fourth Avenue Line,"June 22, 1915",Brooklyn,Park Slope,"3,924,882",125,
,,IND,Culver Line,"October 7, 1933",,,,,
Fifth Avenue/53rd Street,E M,IND,Queens Boulevard Line,"November 1, 1933",Manhattan,Midtown,"7,684,091",47,
Fifth Avenue–59th Street,N R W,BMT,Broadway Line,"September 1, 1919",Manhattan,Midtown,"4,995,128",93,
Seventh Avenue,B D E,IND,"Sixth Avenue Line,
Queens Boulevard Line","August 19, 1933",Manhattan,Midtown,"5,508,778",80,
Seventh Avenue,B Q,BMT,Brighton Line,"August 1, 1920",Brooklyn,Park Slope,"3,103,599",162,
Seventh Avenue,F G,IND,Culver Line,"October 7, 1933",Brooklyn,Park Slope,"3,675,218",136,
Eighth Avenue,M,BMT,Sea Beach Line,"June 22, 1915",Brooklyn,Sunset Park,"3,801,700",130,
Eighth Street–New York University,R W,BMT,Broadway Line,"September 4, 1917",Manhattan,Greenwich Village,"5,434,212",82,
Ninth Avenue,D,BMT,West End Line,"June 24, 1916",Brooklyn,Sunset Park,"1,708,387",274,
14th Street/Sixth Avenue,F M 1 2 3 L,IND,Sixth Avenue Line,"December 15, 1940",Manhattan,Chelsea,"14,736,035",17,
,1 2 3,IRT,Broadway–Seventh Avenue Line,"July 1, 1918",,,,,
,L,BMT,Carnarsie Line,"June 30, 1924",,,,,
14th Street/Eighth Avenue†,A C E L,IND,Eighth Avenue Line,"September 10, 1932",Manhattan,Chelsea,"14,239,275",18,
,,BMT,Carnarsie Line,"May 30, 1931",,,,,
14th Street–Union Square,N Q R W L 4 5 6,BMT,Broadway Line,"September 4, 1917",Manhattan,Union Square,"32,385,260",4,
,,BMT,Carnarsie Line,"June 30, 1924",,,,,
,4 5 6,IRT,Lexington Avenue Line,"October 27, 1904",,,,,
15th Street–Prospect Park,F G,IND,Culver Line,"October 7, 1933",Brooklyn,Windsor Terrace,"1,964,534",240,
18th Avenue,F,IND,Culver Line,"March 16, 1919",Brooklyn,Borough Park,"1,113,492",344,
18th Avenue,N,BMT,Sea Beach Line,"June 22, 1915",Brooklyn,Bensonhurst,"1,179,756",334,
18th Avenue,D,BMT,West End Line,"June 24, 1916",Brooklyn,Bensonhurst,"1,942,617",244,
18th Street,1,IRT,Broadway–Seventh Avenue Line,"July 1, 1918",Manhattan,Chelsea,"2,649,616",184,
20th Avenue,N,BMT,Sea Beach Line,"June 22, 1915",Brooklyn,Bensonhurst,"1,142,086",339,
20th Avenue,D,BMT,West End Line,"July 29, 1916",Brooklyn,Bensonhurst,"1,578,971",284,
21st Street,G,IND,Crosstown Line,"August 19, 1933",Queens,Long Island City,"535,536",407,
21st Street–Queensbridge,F,IND,63rd Street Line,"October 29, 1989",Queens,Long Island City,"3,516,992",144,
23rd Street,F M,IND,Sixth Avenue Line,"December 15, 1940",Manhattan,Chelsea,"8,619,473",36,
23rd Street,C E,IND,Eighth Avenue Line,"September 10, 1932",Manhattan,Chelsea,"7,272,610",52,
23rd Street,R W,BMT,Broadway Line,"January 5, 1918",Manhattan,Flatiron District,"7,085,694",53,
23rd Street,1,IRT,Broadway–Seventh Avenue Line,"July 1, 1918",Manhattan,Chelsea,"4,627,755",102,
23rd Street,6,IRT,Lexington Avenue Line,"October 27, 1904",Manhattan,Gramercy,"8,659,806",35,
25th Avenue,D,BMT,West End Line,"July 29, 1916",Brooklyn,Bensonhurst,"1,507,759",295,
25th Street,R,BMT,Fourth Avenue Line,"June 22, 1915",Brooklyn,Greenwood Heights,"1,153,842",337,
28th Street,R W,BMT,Broadway Line,"January 5, 1918",Manhattan,Midtown,"4,018,310",122,
28th Street,1,IRT,Broadway–Seventh Avenue Line,"July 1, 1918",Manhattan,Chelsea,"4,493,352",108,
28th Street,6,IRT,Lexington Avenue Line,"October 27, 1904",Manhattan,Rose Hill,"5,834,989",73,
30th Avenue,N W,BMT,Astoria Line,"February 1, 1917",Queens,Astoria,"5,230,182",87,
33rd Street,6,IRT,Lexington Avenue Line,"October 27, 1904",Manhattan,Murray Hill,"8,934,900",33,
33rd Street–Rawson Street,7,IRT,Flushing Line,"April 21, 1917",Queens,Sunnyside,"2,907,388",171,
34th Street–Herald Square,N Q R W B D F M,IND,Sixth Avenue Line,"December 15, 1940",Manhattan,Midtown,"39,385,436",3,
,N Q R W,BMT,Broadway Line,"January 5, 1918",,,,,
34th Street–Hudson Yards†,7,IRT,Flushing Line,"September 13, 2015",Manhattan,Hell's Kitchen,"6,108,384",69,
34th Street–Penn Station,A C E,IND,Eighth Avenue Line,"September 10, 1932",Manhattan,Midtown,"25,631,364",7,
34th Street–Penn Station,1 2 3,IRT,Broadway–Seventh Avenue Line,"June 3, 1917",Manhattan,Midtown,"25,967,676",6,
36th Avenue,N W,BMT,Astoria Line,"February 1, 1917",Queens,Astoria,"1,933,812",246,
36th Street,D N R,BMT,Fourth Avenue Line,"June 22, 1915",Brooklyn,Sunset Park,"4,254,406",116,
36th Street,M R,IND,Queens Boulevard Line,"August 19, 1933",Queens,Long Island City,"1,383,420",310,
