MANHATTAN,BRONX,BROOKLYN,QUEENS,STATEN_ISLAND,PERCENT_WHITE,MEDIAN_INCOME,POPULATION_DENSITY,RESIDENTIAL_UNITS,COMMERCIAL_UNITS,LAND_SQUARE_FEET,SALE_PRICE,SERVICES_COUNT,COOP,CONDO,FAMILY_DWELLING,ELEVATOR
1,0,0,0,0,65.02701165766278,96787.0,33959.0,10.0,0.0,2173,6450000,17.0,0,0,0,0
1,0,0,0,0,65.02701165766278,96787.0,33959.0,9.0,0.0,2475,3700000,17.0,0,0,0,0
1,0,0,0,0,65.02701165766278,96787.0,33959.0,82.0,1.0,6635,1625000,17.0,0,0,0,1
1,0,0,0,0,65.02701165766278,96787.0,33959.0,1.0,1.0,2468,13000000,17.0,0,0,0,0
1,0,0,0,0,65.02701165766278,96787.0,33959.0,1.0,1.0,3950,4409843,17.0,0,0,0,0
1,0,0,0,0,65.02701165766278,96787.0,33959.0,1.0,3.0,2340,7300000,17.0,0,0,0,0
1,0,0,0,0,65.02701165766278,96787.0,33959.0,1.0,1.0,27950,234000000,17.0,0,0,0,0
1,0,0,0,0,65.02701165766278,96787.0,33959.0,1.0,4.0,6962,1425000,0.0,0,0,0,0
1,0,0,0,0,65.02701165766278,96787.0,33959.0,1.0,4.0,6962,1415625,0.0,0,0,0,0
1,0,0,0,0,65.02701165766278,96787.0,33959.0,1.0,4.0,6962,2600000,0.0,0,0,0,0
1,0,0,0,0,65.02701165766278,96787.0,33959.0,1.0,4.0,6962,2600000,0.0,0,0,0,0
1,0,0,0,0,65.02701165766278,96787.0,33959.0,1.0,4.0,6962,850000,0.0,0,0,0,0
1,0,0,0,0,65.02701165766278,96787.0,33959.0,1.0,4.0,1861,107000000,0.0,0,0,0,0
1,0,0,0,0,65.02701165766278,96787.0,33959.0,1.0,72.0,7714,107000000,0.0,0,0,0,0
1,0,0,0,0,65.02701165766278,96787.0,33959.0,1.0,29.0,5077,52500000,0.0,0,0,0,0
1,0,0,0,0,65.02701165766278,96787.0,33959.0,1.0,20.0,9875,895000,0.0,0,0,0,0
1,0,0,0,0,65.02701165766278,96787.0,33959.0,1.0,20.0,9875,1070000,0.0,0,0,0,0
1,0,0,0,0,65.02701165766278,96787.0,33959.0,1.0,6.0,1850,107000000,0.0,0,0,0,0
1,0,0,0,0,65.02701165766278,96787.0,33959.0,1.0,1.0,2271,107000000,0.0,0,0,0,0
1,0,0,0,0,65.02701165766278,96787.0,33959.0,1.0,2.0,2271,36500000,0.0,0,0,0,0
1,0,0,0,0,65.02701165766278,96787.0,33959.0,1.0,1.0,1260,4500000,0.0,0,0,0,0
1,0,0,0,0,65.02701165766278,96787.0,33959.0,1.0,1.0,2173,3500000,0.0,0,0,0,0
1,0,0,0,0,65.02701165766278,96787.0,33959.0,1.0,23.0,10650,36500000,0.0,0,0,0,0
1,0,0,0,0,65.02701165766278,96787.0,33959.0,8.0,1.0,2273,5757581,0.0,0,0,0,0
1,0,0,0,0,65.02701165766278,96787.0,33959.0,1.0,4.0,2024,4000000,0.0,0,0,0,0
1,0,0,0,0,65.02701165766278,96787.0,33959.0,1.0,7.0,13474,77456250,0.0,0,0,0,0
1,0,0,0,0,65.02701165766278,96787.0,33959.0,1.0,15.0,13900,8600000,0.0,0,0,0,0
1,0,0,0,0,31.3303034025304,35607.0,92573.0,1.0,3.0,2239,3800000,10.0,0,0,0,0
1,0,0,0,0,31.3303034025304,35607.0,92573.0,1.0,2.0,5000,10400000,10.0,0,0,0,0
1,0,0,0,0,31.3303034025304,35607.0,92573.0,1.0,2.0,1613,2375000,10.0,0,0,0,0
1,0,0,0,0,31.3303034025304,35607.0,92573.0,1.0,0.0,2206,7500000,3.0,0,0,1,0
1,0,0,0,0,31.3303034025304,35607.0,92573.0,9.0,0.0,2227,21250000,3.0,0,0,0,0
1,0,0,0,0,31.3303034025304,35607.0,92573.0,8.0,0.0,1703,21250000,3.0,0,0,0,0
1,0,0,0,0,31.3303034025304,35607.0,92573.0,14.0,1.0,1945,4750000,3.0,0,0,0,0
1,0,0,0,0,31.3303034025304,35607.0,92573.0,20.0,5.0,2884,10425000,3.0,0,0,0,0
1,0,0,0,0,31.3303034025304,35607.0,92573.0,8.0,1.0,1646,3700000,3.0,0,0,0,0
1,0,0,0,0,31.3303034025304,35607.0,92573.0,8.0,1.0,3000,13200000,3.0,0,0,0,0
1,0,0,0,0,31.3303034025304,35607.0,92573.0,18.0,2.0,2204,4070000,3.0,0,0,0,0
1,0,0,0,0,31.3303034025304,35607.0,92573.0,142.0,5.0,39125,365000,3.0,0,0,0,0
1,0,0,0,0,31.3303034025304,35607.0,92573.0,3.0,1.0,936,2600000,3.0,1,0,0,0
1,0,0,0,0,31.3303034025304,35607.0,92573.0,4.0,1.0,1249,1999900,3.0,1,0,0,0
1,0,0,0,0,31.3303034025304,35607.0,92573.0,5.0,1.0,1073,1950100,3.0,1,0,0,0
1,0,0,0,0,31.3303034025304,35607.0,92573.0,1.0,7.0,5918,18750000,3.0,0,0,0,0
1,0,0,0,0,31.3303034025304,35607.0,92573.0,4.0,5.0,2558,5950000,3.0,0,0,0,0
1,0,0,0,0,31.3303034025304,35607.0,92573.0,1.0,2.0,1824,8500000,3.0,0,0,0,0
1,0,0,0,0,31.3303034025304,35607.0,92573.0,1.0,2.0,67870,254000000,3.0,0,0,0,0
1,0,0,0,0,31.3303034025304,35607.0,92573.0,1.0,1.0,4875,19500000,3.0,0,0,0,0
1,0,0,0,0,76.38512066257319,129981.0,97188.0,2.0,0.0,1845,9993750,4.0,0,0,1,0
1,0,0,0,0,76.38512066257319,129981.0,97188.0,2.0,1.0,1575,5100000,4.0,0,0,1,0
1,0,0,0,0,76.38512066257319,129981.0,97188.0,2.0,0.0,972,8000000,4.0,0,0,1,0
1,0,0,0,0,76.38512066257319,129981.0,97188.0,3.0,0.0,1635,8295000,4.0,0,0,1,0
1,0,0,0,0,76.38512066257319,129981.0,97188.0,3.0,0.0,1600,3600000,4.0,0,0,1,0
1,0,0,0,0,76.38512066257319,129981.0,97188.0,20.0,1.0,1901,4660000,4.0,0,0,0,0
1,0,0,0,0,76.38512066257319,129981.0,97188.0,24.0,0.0,3806,49500000,4.0,0,0,0,0
1,0,0,0,0,76.38512066257319,129981.0,97188.0,24.0,0.0,3146,49500000,4.0,0,0,0,0
1,0,0,0,0,76.38512066257319,129981.0,97188.0,22.0,3.0,4119,8400000,4.0,0,0,0,0
1,0,0,0,0,76.38512066257319,129981.0,97188.0,34.0,0.0,4119,12400000,4.0,0,0,0,0
1,0,0,0,0,76.38512066257319,129981.0,97188.0,22.0,2.0,2201,10055518,4.0,0,0,0,0
1,0,0,0,0,76.38512066257319,129981.0,97188.0,20.0,0.0,2835,1615000,4.0,0,0,0,0
1,0,0,0,0,76.38512066257319,129981.0,97188.0,9.0,0.0,2313,1,4.0,0,0,0,0
1,0,0,0,0,76.38512066257319,129981.0,97188.0,20.0,2.0,2348,8379598,4.0,0,0,0,0
1,0,0,0,0,76.38512066257319,129981.0,97188.0,10.0,0.0,2348,5975000,4.0,0,0,0,0
1,0,0,0,0,76.38512066257319,129981.0,97188.0,10.0,0.0,2348,6140000,4.0,0,0,0,0
1,0,0,0,0,76.38512066257319,129981.0,97188.0,33.0,2.0,6180,15300000,4.0,0,0,0,0
1,0,0,0,0,76.38512066257319,129981.0,97188.0,24.0,0.0,2839,12744046,4.0,0,0,0,0
1,0,0,0,0,76.38512066257319,129981.0,97188.0,22.0,2.0,2779,11696155,4.0,0,0,0,0
1,0,0,0,0,76.38512066257319,129981.0,97188.0,37.0,0.0,4130,19475951,4.0,0,0,0,0
1,0,0,0,0,76.38512066257319,129981.0,97188.0,17.0,1.0,2323,3526000,4.0,0,0,0,0
1,0,0,0,0,76.38512066257319,129981.0,97188.0,4.0,0.0,1602,5800000,4.0,0,0,0,0
1,0,0,0,0,76.38512066257319,129981.0,97188.0,21.0,1.0,2500,1800,4.0,0,0,0,0
1,0,0,0,0,76.38512066257319,129981.0,97188.0,36.0,5.0,4850,15400000,4.0,0,0,0,0
1,0,0,0,0,76.38512066257319,129981.0,97188.0,20.0,2.0,2425,9371919,4.0,0,0,0,0
1,0,0,0,0,76.38512066257319,129981.0,97188.0,10.0,0.0,2425,8710372,4.0,0,0,0,0
1,0,0,0,0,76.38512066257319,129981.0,97188.0,10.0,0.0,2425,8710372,4.0,0,0,0,0
1,0,0,0,0,76.38512066257319,129981.0,97188.0,8.0,2.0,2425,5953925,4.0,0,0,0,0
1,0,0,0,0,76.38512066257319,129981.0,97188.0,10.0,0.0,2425,8379598,4.0,0,0,0,0
1,0,0,0,0,76.38512066257319,129981.0,97188.0,16.0,2.0,2425,8159083,4.0,0,0,0,0
1,0,0,0,0,76.38512066257319,129981.0,97188.0,16.0,0.0,2218,10350000,4.0,0,0,0,0
1,0,0,0,0,76.38512066257319,129981.0,97188.0,20.0,2.0,2934,12916930,4.0,0,0,0,0
1,0,0,0,0,76.38512066257319,129981.0,97188.0,5.0,0.0,2581,7229250,4.0,0,0,0,0
1,0,0,0,0,76.38512066257319,129981.0,97188.0,24.0,0.0,4017,49500000,4.0,0,0,0,1
1,0,0,0,0,76.38512066257319,129981.0,97188.0,25.0,1.0,5521,8000000,4.0,0,0,0,1
1,0,0,0,0,76.38512066257319,129981.0,97188.0,6.0,1.0,2425,13250000,4.0,1,0,0,0
1,0,0,0,0,76.38512066257319,129981.0,97188.0,3.0,1.0,1000,4300000,4.0,1,0,0,0
1,0,0,0,0,76.38512066257319,129981.0,97188.0,6.0,2.0,4400,4370000,4.0,1,0,0,0
1,0,0,0,0,76.38512066257319,129981.0,97188.0,2.0,1.0,1770,11500000,4.0,0,0,0,0
1,0,0,0,0,76.38512066257319,129981.0,97188.0,1.0,1.0,5000,73000000,4.0,0,0,0,0
1,0,0,0,0,76.38512066257319,129981.0,97188.0,1.0,2.0,2300,6675000,0.0,0,0,0,0
1,0,0,0,0,76.38512066257319,129981.0,97188.0,2.0,0.0,2250,3500000,1.0,0,0,1,0
1,0,0,0,0,76.38512066257319,129981.0,97188.0,3.0,0.0,1733,4500000,1.0,0,0,1,0
1,0,0,0,0,76.38512066257319,129981.0,97188.0,12.0,3.0,3240,6000000,1.0,0,0,0,0
1,0,0,0,0,76.38512066257319,129981.0,97188.0,2.0,1.0,1967,19500000,1.0,0,0,0,0
1,0,0,0,0,76.38512066257319,129981.0,97188.0,1.0,0.0,2583,29500000,0.0,0,0,1,0
1,0,0,0,0,76.38512066257319,129981.0,97188.0,16.0,1.0,2405,16500000,0.0,0,0,0,0
1,0,0,0,0,76.38512066257319,129981.0,97188.0,18.0,2.0,2405,16500000,0.0,0,0,0,0
1,0,0,0,0,76.38512066257319,129981.0,97188.0,5.0,0.0,2307,15000000,0.0,0,0,0,0
1,0,0,0,0,76.38512066257319,129981.0,97188.0,5.0,0.0,2307,9550000,0.0,0,0,0,0
1,0,0,0,0,76.38512066257319,129981.0,97188.0,9.0,1.0,1787,5950000,0.0,0,0,0,0
1,0,0,0,0,76.38512066257319,129981.0,97188.0,5.0,2.0,1675,5950000,0.0,0,0,0,0
1,0,0,0,0,76.38512066257319,129981.0,97188.0,20.0,2.0,5163,23500000,0.0,0,0,0,0
1,0,0,0,0,76.38512066257319,129981.0,97188.0,3.0,1.0,1836,11725000,0.0,1,0,0,0
1,0,0,0,0,76.38512066257319,129981.0,97188.0,1.0,6.0,9967,39250000,0.0,0,0,0,0
1,0,0,0,0,76.38512066257319,129981.0,97188.0,14.0,1.0,2070,3350000,0.0,0,0,0,0
1,0,0,0,0,76.38512066257319,129981.0,97188.0,2.0,1.0,3150,12000000,0.0,0,0,0,0
1,0,0,0,0,76.38512066257319,129981.0,97188.0,2.0,0.0,1560,360000,0.0,0,0,1,0
1,0,0,0,0,76.38512066257319,129981.0,97188.0,2.0,0.0,1794,6226060,0.0,0,0,1,0
1,0,0,0,0,76.38512066257319,129981.0,97188.0,8.0,0.0,1802,2500000,0.0,0,0,0,0
1,0,0,0,0,76.38512066257319,129981.0,97188.0,24.0,0.0,3680,7900000,0.0,0,0,0,0
1,0,0,0,0,70.15215280025899,204949.0,5519.0,4.0,1.0,1839,6250000,0.0,1,0,0,0
1,0,0,0,0,70.15215280025899,204949.0,5519.0,3.0,1.0,1502,10100000,0.0,1,0,0,0
1,0,0,0,0,70.15215280025899,204949.0,5519.0,4.0,2.0,1738,10100000,0.0,1,0,0,0
1,0,0,0,0,70.15215280025899,204949.0,5519.0,1.0,1.0,6834,74303527,0.0,0,0,0,0
1,0,0,0,0,70.09110021023125,184681.0,97048.0,1.0,3.0,48741,220000000,0.0,0,0,0,0
1,0,0,0,0,69.34573231484556,185268.0,32796.0,1.0,0.0,15286,1295000,0.0,0,1,0,0
1,0,0,0,0,69.34573231484556,185268.0,32796.0,1.0,0.0,15286,2485000,0.0,0,1,0,0
1,0,0,0,0,69.34573231484556,185268.0,32796.0,1.0,0.0,15286,1995000,0.0,0,1,0,0
1,0,0,0,0,69.34573231484556,185268.0,32796.0,1.0,0.0,15286,1315000,0.0,0,1,0,0
1,0,0,0,0,69.34573231484556,185268.0,32796.0,1.0,0.0,15286,1325000,0.0,0,1,0,0
1,0,0,0,0,69.34573231484556,185268.0,32796.0,1.0,0.0,15286,2125000,0.0,0,1,0,0
1,0,0,0,0,69.34573231484556,185268.0,32796.0,1.0,0.0,15286,1360000,0.0,0,1,0,0
1,0,0,0,0,69.34573231484556,185268.0,32796.0,1.0,0.0,15286,2120750,0.0,0,1,0,0
1,0,0,0,0,69.34573231484556,185268.0,32796.0,1.0,0.0,15286,1380000,0.0,0,1,0,0
1,0,0,0,0,69.34573231484556,185268.0,32796.0,1.0,0.0,15286,2250000,0.0,0,1,0,0
1,0,0,0,0,69.34573231484556,185268.0,32796.0,1.0,0.0,15286,1500000,0.0,0,1,0,0
1,0,0,0,0,69.34573231484556,185268.0,32796.0,1.0,0.0,15286,1450000,0.0,0,1,0,0
1,0,0,0,0,69.34573231484556,185268.0,32796.0,1.0,0.0,15286,1612000,0.0,0,1,0,0
1,0,0,0,0,69.34573231484556,185268.0,32796.0,1.0,0.0,15286,2570000,0.0,0,1,0,0
1,0,0,0,0,69.34573231484556,185268.0,32796.0,1.0,0.0,26800,155000000,0.0,0,0,0,0
1,0,0,0,0,69.34573231484556,185268.0,32796.0,1.0,192.0,4537,69000000,0.0,0,0,0,0
1,0,0,0,0,69.34573231484556,185268.0,32796.0,1.0,3.0,4613,9500000,0.0,0,0,0,0
1,0,0,0,0,62.06823479550753,68220.0,99492.0,1.0,0.0,2116,2385000,0.0,0,0,1,0
1,0,0,0,0,62.06823479550753,68220.0,99492.0,2.0,0.0,882,3025000,0.0,0,0,1,0
1,0,0,0,0,62.06823479550753,68220.0,99492.0,20.0,0.0,2302,154196,0.0,0,0,0,0
1,0,0,0,0,62.06823479550753,68220.0,99492.0,29.0,0.0,3927,7500000,0.0,0,0,0,0
1,0,0,0,0,62.06823479550753,68220.0,99492.0,10.0,1.0,1600,3425000,0.0,0,0,0,0
1,0,0,0,0,62.06823479550753,68220.0,99492.0,9.0,1.0,1273,3,0.0,0,0,0,0
1,0,0,0,0,62.06823479550753,68220.0,99492.0,8.0,0.0,1859,4500000,0.0,0,0,0,0
1,0,0,0,0,62.06823479550753,68220.0,99492.0,9.0,1.0,1817,11500000,0.0,0,0,0,0
